Division,Date,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Shots,Away_Shots,Home_Shots_on_Target,Away_Shots_on_Target,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards
SP1,2014-10-18,Levante,Real Madrid,0,5,A,11,21,1,11,6,3,4,0,0,0
SP1,2014-10-19,Ath Madrid,Espanol,2,0,H,20,7,9,1,12,1,0,0,0,0
SP1,2014-10-19,Elche,Sevilla,0,2,A,12,10,1,7,6,4,5,2,0,0
SP1,2014-10-19,La Coruna,Valencia,3,0,H,11,8,5,1,3,5,3,3,0,0
SP1,2014-10-19,Villarreal,Almeria,2,0,H,17,10,8,3,6,4,5,2,0,0
SP1,2014-10-20,Sociedad,Getafe,1,2,A,13,16,2,7,8,4,1,3,0,0
SP1,2014-10-24,Celta,Levante,3,0,H,13,4,4,0,7,0,0,3,0,0
SP1,2014-10-25,Real Madrid,Barcelona,3,1,H,18,16,6,5,3,9,2,4,0,0
SP1,2014-10-25,Eibar,Granada,1,1,D,7,8,3,3,7,8,3,4,0,0
SP1,2014-10-25,Valencia,Elche,3,1,H,12,8,4,3,8,6,0,2,0,0
SP1,2014-10-25,Almeria,Ath Bilbao,0,1,A,7,6,3,1,4,8,2,1,0,0
SP1,2014-10-25,Cordoba,Sociedad,1,1,D,7,7,3,1,5,4,3,2,0,0
SP1,2014-10-26,Espanol,La Coruna,0,0,D,16,5,5,1,11,0,2,4,0,0
SP1,2014-10-26,Getafe,Ath Madrid,0,1,A,11,12,4,7,1,8,3,3,1,0
SP1,2014-10-26,Malaga,Vallecano,4,0,H,18,10,8,4,7,4,1,4,0,0
SP1,2014-10-26,Sevilla,Villarreal,2,1,H,8,11,4,4,3,2,3,4,0,0
SP1,2014-10-31,La Coruna,Getafe,1,2,A,9,16,2,4,4,6,2,1,0,0
SP1,2014-11-21,Ath Bilbao,Espanol,3,1,H,9,8,5,3,5,3,0,5,0,0
